symbol,event_date,action,magnitude,mag_label,cluster_status,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
BCO.DE,2012-01-17,downgrade,2,small,single,downgrade,0.004812,0.009708,-0.004896,-0.034519,0.010588,-0.045107,-0.038703,0.062536,-0.101239,-0.021548,0.0594,-0.080948
BCO.DE,2012-01-18,downgrade,2,small,single,downgrade,-0.002707,-0.00185,-0.000857,-0.024984,0.019262,-0.044246,-0.014782,0.067293,-0.082076,-0.040808,0.039737,-0.080544
UOF.DE,2012-02-06,upgrade,2,small,clustered,upgrade_clustered,0.0,-0.000805,0.000805,0.0,-0.003851,0.003851,0.0,-0.012302,0.012302,0.0,-0.041291,0.041291
HS2.DE,2012-02-06,downgrade,2,small,single,downgrade,0.0,-0.000805,0.000805,0.0,-0.003851,0.003851,0.0,-0.012302,0.012302,0.0,-0.041291,0.041291
AMD.DE,2012-02-06,downgrade,2,small,single,downgrade,0.039698,-0.000805,0.040503,0.049149,-0.003851,0.053,0.017013,-0.012302,0.029315,0.003781,-0.041291,0.045072
UOF.DE,2012-02-07,upgrade,2,small,clustered,upgrade_clustered,0.0,0.005933,-0.005933,0.0,0.00136,-0.00136,0.0,0.012711,-0.012711,0.0,-0.034193,0.034193
DWD.DE,2012-02-07,downgrade,2,small,single,downgrade,0.0,0.005933,-0.005933,0.0,0.00136,-0.00136,0.0,0.012711,-0.012711,0.003527,-0.034193,0.03772
CXU.DE,2012-02-07,downgrade,2,small,single,downgrade,0.0,0.005933,-0.005933,0.01006,0.00136,0.0087,-0.000671,0.012711,-0.013381,0.160966,-0.034193,0.195159
HS2.DE,2012-02-07,downgrade,2,small,single,downgrade,0.0,0.005933,-0.005933,0.0,0.00136,-0.00136,0.0,0.012711,-0.012711,0.0,-0.034193,0.034193
AMD.DE,2012-02-07,downgrade,2,small,single,downgrade,0.009091,0.005933,0.003158,0.032727,0.00136,0.031367,0.007273,0.012711,-0.005438,-0.06,-0.034193,-0.025807
AMG.DE,2012-02-08,downgrade,2,small,single,downgrade,-0.041178,-0.014117,-0.027061,0.010866,-0.005427,0.016293,0.002288,0.013465,-0.011177,0.057764,-0.030767,0.088531
GIS.DE,2012-02-08,downgrade,2,small,single,downgrade,-0.000704,-0.014117,0.013413,0.040141,-0.005427,0.045567,-0.126056,0.013465,-0.139521,-0.006338,-0.030767,0.024429
DWD.DE,2012-02-08,downgrade,2,small,single,downgrade,0.0,-0.014117,0.014117,0.0,-0.005427,0.005427,0.0,0.013465,-0.013465,0.003527,-0.030767,0.034294
MMM.DE,2012-02-08,downgrade,2,small,single,downgrade,0.0,-0.014117,0.014117,0.00757,-0.005427,0.012997,0.00757,0.013465,-0.005895,0.00757,-0.030767,0.038337
CIS.DE,2012-02-08,downgrade,2,small,single,downgrade,-0.009404,-0.014117,0.004713,0.00418,-0.005427,0.009606,-0.008359,0.013465,-0.021824,-0.145246,-0.030767,-0.114479
CXU.DE,2012-02-08,downgrade,2,small,single,downgrade,0.001341,-0.014117,0.015459,0.030852,-0.005427,0.036278,0.046948,0.013465,0.033484,0.160966,-0.030767,0.191733
CIS.DE,2012-02-09,downgrade,2,small,single,downgrade,-0.004219,0.0068,-0.011019,0.005274,0.023169,-0.017895,-0.005274,0.031136,-0.03641,-0.128692,-0.036006,-0.092686
AMG.DE,2012-02-09,downgrade,2,small,single,downgrade,0.007158,0.0068,0.000358,0.044438,0.023169,0.021269,0.045333,0.031136,0.014197,0.110051,-0.036006,0.146057
YCP.DE,2012-02-09,upgrade,2,small,single,upgrade_single,0.0,0.0068,-0.0068,0.013374,0.023169,-0.009795,0.013374,0.031136,-0.017761,0.013374,-0.036006,0.049381
F3A.DE,2012-02-09,downgrade,2,small,single,downgrade,-0.078947,0.0068,-0.085747,-0.119883,0.023169,-0.143052,-0.385965,0.031136,-0.417101,-0.646199,-0.036006,-0.610192
MMM.DE,2012-02-09,downgrade,2,small,single,downgrade,0.0,0.0068,-0.0068,0.00757,0.023169,-0.015599,0.00757,0.031136,-0.023566,0.00757,-0.036006,0.043577
YCP.DE,2012-02-10,upgrade,2,small,single,upgrade_single,0.0,-0.001526,0.001526,0.013374,0.031132,-0.017757,0.013374,0.038205,-0.02483,0.013374,-0.050072,0.063447
F3A.DE,2012-02-10,downgrade,2,small,single,downgrade,-0.067302,-0.001526,-0.065776,0.036508,0.031132,0.005376,-0.340952,0.038205,-0.379157,-0.58,-0.050072,-0.529928
USX1.DE,2012-02-12,downgrade,2,small,single,downgrade,0.0,-0.001526,0.001526,0.0,0.031132,-0.031132,0.0,0.038205,-0.038205,0.001551,-0.050072,0.051624
USX1.DE,2012-02-13,downgrade,2,small,single,downgrade,0.0,0.004422,-0.004422,0.0,0.026752,-0.026752,0.0,0.052203,-0.052203,0.001551,-0.051118,0.052669
NCB.DE,2012-02-13,downgrade,2,small,single,downgrade,0.0,0.004422,-0.004422,-0.008316,0.026752,-0.035068,0.099792,0.052203,0.047589,-0.051975,-0.051118,-0.000857
NCB.DE,2012-02-14,downgrade,2,small,single,downgrade,0.0,-0.000885,0.000885,-0.002079,0.012715,-0.014794,0.139293,0.057194,0.0821,-0.070686,-0.066437,-0.004249
TL0.DE,2012-02-15,downgrade,2,small,single,downgrade,0.0,0.014228,-0.014228,-0.00578,0.008516,-0.014296,0.028902,0.06011,-0.031208,-0.16185,-0.0712,-0.09065
BTL.DE,2012-02-15,downgrade,2,small,single,downgrade,0.0,0.014228,-0.014228,0.0,0.008516,-0.008516,0.007879,0.06011,-0.052231,0.007879,-0.0712,0.079079
EW1.DE,2012-02-15,upgrade,2,small,single,upgrade_single,0.0,0.014228,-0.014228,0.0,0.008516,-0.008516,0.0,0.06011,-0.06011,0.0,-0.0712,0.0712
AMZ.DE,2012-02-15,downgrade,2,small,single,downgrade,0.019259,0.014228,0.005031,0.001481,0.008516,-0.007035,0.031111,0.06011,-0.028999,0.274074,-0.0712,0.345274
AMZ.DE,2012-02-16,downgrade,2,small,single,downgrade,0.007267,0.014635,-0.007367,-0.027616,0.002395,-0.030011,0.014535,0.044712,-0.030177,0.228198,-0.075495,0.303692
EW1.DE,2012-02-16,upgrade,2,small,single,upgrade_single,0.0,0.014635,-0.014635,0.0,0.002395,-0.002395,0.0,0.044712,-0.044712,0.0,-0.075495,0.075495
BTL.DE,2012-02-16,downgrade,2,small,single,downgrade,0.0,0.014635,-0.014635,0.0,0.002395,-0.002395,0.007879,0.044712,-0.036833,0.007879,-0.075495,0.083373
TL0.DE,2012-02-16,downgrade,2,small,single,downgrade,0.046243,0.014635,0.031608,-0.023121,0.002395,-0.025516,0.034682,0.044712,-0.01003,-0.179191,-0.075495,-0.103696
KLA.DE,2012-02-20,downgrade,2,small,single,downgrade,0.0,-0.009309,0.009309,0.0,-0.002975,0.002975,0.0,0.023615,-0.023615,0.010679,-0.0901,0.10078
KLA.DE,2012-02-21,downgrade,2,small,single,downgrade,0.0,-0.005028,0.005028,0.0,0.001784,-0.001784,0.0,0.020075,-0.020075,0.010679,-0.077146,0.087826
UOF.DE,2012-02-21,upgrade,2,small,clustered,upgrade_clustered,0.0,-0.005028,0.005028,0.0,0.001784,-0.001784,0.0,0.020075,-0.020075,0.0,-0.077146,0.077146
KEL.DE,2012-02-22,upgrade,2,small,single,upgrade_single,0.0,0.008073,-0.008073,0.011788,0.01943,-0.007643,0.011788,0.027338,-0.015551,0.011788,-0.068951,0.080739
UOF.DE,2012-02-22,upgrade,2,small,clustered,upgrade_clustered,0.0,0.008073,-0.008073,0.0,0.01943,-0.01943,0.0,0.027338,-0.027338,0.0,-0.068951,0.068951
KEL.DE,2012-02-23,upgrade,2,small,single,upgrade_single,0.0,-0.00216,0.00216,0.011788,0.008295,0.003493,0.011788,0.031292,-0.019504,0.011788,-0.078847,0.090635
BTL.DE,2012-02-23,upgrade,2,small,single,upgrade_single,0.0,-0.00216,0.00216,0.0,0.008295,-0.008295,0.007879,0.031292,-0.023413,0.007879,-0.078847,0.086726
DBK.DE,2012-02-23,upgrade,2,small,single,upgrade_single,-0.000862,-0.00216,0.001298,0.028461,0.008295,0.020166,0.117723,0.031292,0.086431,-0.163433,-0.078847,-0.084585
DBK.DE,2012-02-24,upgrade,2,small,single,upgrade_single,0.007337,0.005552,0.001785,0.008632,0.002461,0.00617,0.109625,0.033476,0.076148,-0.160984,-0.0661,-0.094884
BTL.DE,2012-02-24,upgrade,2,small,single,upgrade_single,0.0,0.005552,-0.005552,0.0,0.002461,-0.002461,0.007879,0.033476,-0.025598,0.007879,-0.0661,0.073979
WDP.DE,2012-02-26,upgrade,2,small,single,upgrade_single,0.0,0.005552,-0.005552,0.0,0.002461,-0.002461,0.0,0.033476,-0.033476,0.0,-0.0661,0.0661
PRG.DE,2012-02-27,upgrade,2,small,single,upgrade_single,0.010033,-0.004581,0.014613,0.02115,-0.036953,0.058103,0.000813,0.016141,-0.015327,0.022234,-0.088104,0.110339
NOA3.DE,2012-02-27,downgrade,2,small,single,downgrade,-0.021661,-0.004581,-0.01708,-0.061372,-0.036953,-0.024419,0.018051,0.016141,0.00191,-0.407942,-0.088104,-0.319838
WDP.DE,2012-02-27,upgrade,2,small,single,upgrade_single,0.0,-0.004581,0.004581,0.0,-0.036953,0.036953,0.0,0.016141,-0.016141,0.0,-0.088104,0.088104
CHV.DE,2012-02-28,upgrade,2,small,single,upgrade_single,0.127397,0.012498,0.114899,0.141844,-0.026979,0.168823,0.092199,0.002781,0.089417,0.101129,-0.086303,0.187432
F3A.DE,2012-02-28,downgrade,2,small,single,downgrade,-0.069814,0.012498,-0.082313,-0.192897,-0.026979,-0.165918,-0.232446,0.002781,-0.235227,-0.564165,-0.086303,-0.477862
PRG.DE,2012-02-28,upgrade,2,small,single,upgrade_single,0.0,0.012498,-0.012498,0.004027,-0.026979,0.031006,-0.002148,0.002781,-0.004929,0.007248,-0.086303,0.093551
F3A.DE,2012-02-29,downgrade,2,small,single,downgrade,-0.010846,-0.002939,-0.007907,-0.163557,-0.015447,-0.14811,-0.180911,0.000729,-0.18164,-0.592191,-0.128423,-0.463768
CHV.DE,2012-02-29,upgrade,2,small,single,upgrade_single,0.012116,-0.002939,0.015054,0.020037,-0.015447,0.035484,-0.031221,0.000729,-0.03195,-0.034017,-0.128423,0.094406
LLY.DE,2012-03-01,upgrade,2,small,single,upgrade_single,0.0,-0.007933,0.007933,0.013356,-0.005947,0.019302,0.041319,0.019545,0.021774,0.12813,-0.136265,0.264395
PA9.DE,2012-03-01,downgrade,2,small,single,downgrade,-0.010284,-0.007933,-0.00235,-0.020567,-0.005947,-0.01462,0.009972,0.019545,-0.009573,0.107199,-0.136265,0.243463
MTLA.DE,2012-03-01,upgrade,2,small,single,upgrade_single,0.0,-0.007933,0.007933,0.0,-0.005947,0.005947,0.006998,0.019545,-0.012547,0.006998,-0.136265,0.143263
MTLA.DE,2012-03-02,upgrade,2,small,single,upgrade_single,0.0,-0.033984,0.033984,0.0,0.005081,-0.005081,0.006998,0.016867,-0.00987,0.006998,-0.130644,0.137642
PA9.DE,2012-03-02,downgrade,2,small,single,downgrade,-0.000315,-0.033984,0.033669,0.008816,0.005081,0.003735,0.135705,0.016867,0.118838,0.11272,-0.130644,0.243364
LLY.DE,2012-03-02,upgrade,2,small,single,upgrade_single,0.0,-0.033984,0.033984,0.04424,0.005081,0.039159,0.043823,0.016867,0.026956,0.12813,-0.130644,0.258774
ORC.DE,2012-03-11,downgrade,2,small,single,downgrade,0.028986,0.013702,0.015284,0.006132,0.036641,-0.030509,-0.039576,-0.02291,-0.016666,-0.026198,-0.107241,0.081043
SWN.DE,2012-03-11,downgrade,2,small,single,downgrade,0.0,0.013702,-0.013702,0.0,0.036641,-0.036641,0.0,-0.02291,0.02291,0.00105,-0.107241,0.108292
ORC.DE,2012-03-12,downgrade,2,small,single,downgrade,0.004875,0.011937,-0.007062,-0.02546,0.008438,-0.033898,-0.048754,-0.058893,0.010139,-0.054713,-0.120559,0.065846
CVS.DE,2012-03-12,downgrade,2,small,single,downgrade,0.0,0.011937,-0.011937,0.0,0.008438,-0.008438,0.0,-0.058893,0.058893,0.003026,-0.120559,0.123585
SWN.DE,2012-03-12,downgrade,2,small,single,downgrade,0.0,0.011937,-0.011937,0.0,0.008438,-0.008438,0.0,-0.058893,0.058893,0.00105,-0.120559,0.121609
F3A.DE,2012-03-13,upgrade,2,small,single,upgrade_single,-0.007075,0.009186,-0.016261,-0.071226,-0.001144,-0.070082,-0.241981,-0.064162,-0.177819,-0.490566,-0.132894,-0.357672
CVS.DE,2012-03-13,downgrade,2,small,single,downgrade,0.0,0.009186,-0.009186,0.0,-0.001144,0.001144,0.0,-0.064162,0.064162,0.003026,-0.132894,0.135919
TRVC.DE,2012-03-13,downgrade,2,small,single,downgrade,0.026639,0.009186,0.017454,0.051742,-0.001144,0.052886,-0.029713,-0.064162,0.034449,-0.185963,-0.132894,-0.053069
AMD.DE,2012-03-14,upgrade,2,small,single,upgrade_single,-0.008026,0.001871,-0.009897,-0.025682,-0.022842,-0.002841,-0.035313,-0.048072,0.012759,-0.253612,-0.128077,-0.125535
F3A.DE,2012-03-14,upgrade,2,small,single,upgrade_single,0.021378,0.001871,0.019506,-0.026128,-0.022842,-0.003287,-0.206651,-0.048072,-0.158579,-0.477435,-0.128077,-0.349358
EBA.DE,2012-03-14,downgrade,2,small,single,downgrade,0.0,0.001871,-0.001871,0.0,-0.022842,0.022842,0.0,-0.048072,0.048072,0.0,-0.128077,0.128077
TRVC.DE,2012-03-14,downgrade,2,small,single,downgrade,-0.000998,0.001871,-0.002869,0.007485,-0.022842,0.030327,-0.048403,-0.048072,-0.000331,-0.222056,-0.128077,-0.093979
AMD.DE,2012-03-15,upgrade,2,small,single,upgrade_single,-0.009709,-0.000503,-0.009206,-0.022654,-0.02266,7e-06,-0.024272,-0.059486,0.035214,-0.257282,-0.127081,-0.130201
EBA.DE,2012-03-15,downgrade,2,small,single,downgrade,0.0,-0.000503,0.000503,0.0,-0.02266,0.02266,0.0,-0.059486,0.059486,0.0,-0.127081,0.127081
MSF.DE,2012-03-15,upgrade,2,small,single,upgrade_single,-0.023417,-0.000503,-0.022914,-0.036189,-0.02266,-0.013529,-0.040979,-0.059486,0.018507,-0.0314,-0.127081,0.095681
PAE.DE,2012-03-15,downgrade,2,small,single,downgrade,-0.008542,-0.000503,-0.008039,-0.040879,-0.02266,-0.018218,-0.09518,-0.059486,-0.035694,-0.135448,-0.127081,-0.008368
DWD.DE,2012-03-15,downgrade,2,small,single,downgrade,0.0,-0.000503,0.000503,0.0,-0.02266,0.02266,0.0,-0.059486,0.059486,-0.328042,-0.127081,-0.200962
MSF.DE,2012-03-16,upgrade,2,small,single,upgrade_single,-0.010354,-0.013877,0.003523,-0.000545,-0.010482,0.009937,-0.011989,-0.067513,0.055524,0.00436,-0.110545,0.114904
PAE.DE,2012-03-16,downgrade,2,small,single,downgrade,-0.019692,-0.013877,-0.005815,-0.017846,-0.010482,-0.007364,-0.090462,-0.067513,-0.022949,-0.112615,-0.110545,-0.002071
DWD.DE,2012-03-16,downgrade,2,small,single,downgrade,0.0,-0.013877,0.013877,0.0,-0.010482,0.010482,0.0,-0.067513,0.067513,-0.328042,-0.110545,-0.217498
EBA.DE,2012-03-18,downgrade,2,small,single,downgrade,0.0,-0.013877,0.013877,0.0,-0.010482,0.010482,0.0,-0.067513,0.067513,0.0,-0.110545,0.110545
ABL.DE,2012-03-18,upgrade,2,small,single,upgrade_single,0.0,-0.013877,0.013877,0.0,-0.010482,0.010482,0.014254,-0.067513,0.081766,0.014254,-0.110545,0.124798
UPAB.DE,2012-03-18,upgrade,2,small,single,upgrade_single,-0.009894,-0.013877,0.003984,-0.004947,-0.010482,0.005535,-0.001237,-0.067513,0.066276,0.009894,-0.110545,0.120438
UPAB.DE,2012-03-19,upgrade,2,small,single,upgrade_single,0.011242,0.002322,0.00892,0.008494,0.003396,0.005097,-0.0005,-0.043207,0.042707,0.028479,-0.09395,0.122428
EBA.DE,2012-03-19,downgrade,2,small,single,downgrade,0.0,0.002322,-0.002322,0.0,0.003396,-0.003396,0.0,-0.043207,0.043207,0.0,-0.09395,0.09395
HAR.DE,2012-03-19,upgrade,2,small,clustered,upgrade_clustered,0.007236,0.002322,0.004914,0.015557,0.003396,0.012161,0.005065,-0.043207,0.048272,0.069826,-0.09395,0.163776
ABL.DE,2012-03-19,upgrade,2,small,single,upgrade_single,0.0,0.002322,-0.002322,0.0,0.003396,-0.003396,0.014254,-0.043207,0.05746,0.014254,-0.09395,0.108203
UPAB.DE,2012-03-20,downgrade,2,small,single,downgrade,-0.005188,-0.012736,0.007548,-0.017045,-0.010256,-0.00679,-0.016057,-0.077541,0.061484,0.019763,-0.102978,0.122741
HAL.DE,2012-03-20,downgrade,2,small,single,downgrade,-0.038304,-0.012736,-0.025568,-0.060266,-0.010256,-0.05001,-0.020429,-0.077541,0.057112,-0.102145,-0.102978,0.000833
BSD2.DE,2012-03-20,upgrade,2,small,single,upgrade_single,-0.033113,-0.012736,-0.020377,-0.07947,-0.010256,-0.069215,-0.225166,-0.077541,-0.147624,-0.172185,-0.102978,-0.069207
HAR.DE,2012-03-20,upgrade,2,small,clustered,upgrade_clustered,-0.016164,-0.012736,-0.003428,-0.016523,-0.010256,-0.006267,0.017241,-0.077541,0.094783,0.051365,-0.102978,0.154343
XONA.DE,2012-03-21,upgrade,2,small,single,upgrade_single,-0.006916,0.002057,-0.008973,-0.007781,-0.015199,0.007418,0.00634,-0.055986,0.062326,0.021326,-0.102848,0.124174
HAL.DE,2012-03-21,downgrade,2,small,single,downgrade,0.026553,0.002057,0.024496,-0.021774,-0.015199,-0.006575,0.034519,-0.055986,0.090505,-0.103558,-0.102848,-0.00071
XONA.DE,2012-03-22,upgrade,2,small,single,upgrade_single,0.009286,0.011952,-0.002666,0.005514,-0.006974,0.012488,0.01567,-0.041615,0.057285,0.011027,-0.123396,0.134423
TL0.DE,2012-03-25,upgrade,2,small,single,upgrade_single,0.066298,-4.7e-05,0.066345,0.022099,-0.00319,0.025289,-0.104972,-0.047933,-0.057039,-0.022099,-0.133142,0.111042
MTE.DE,2012-03-25,downgrade,2,small,single,downgrade,-0.071212,-4.7e-05,-0.071165,-0.095455,-0.00319,-0.092265,-0.237879,-0.047933,-0.189946,-0.334848,-0.133142,-0.201707
TL0.DE,2012-03-26,upgrade,2,small,single,upgrade_single,-0.005181,-0.011315,0.006134,-0.020725,-0.013649,-0.007076,-0.134715,-0.039212,-0.095503,-0.098446,-0.120062,0.021617
ZEG.DE,2012-03-26,upgrade,2,small,single,upgrade_single,-0.000939,-0.011315,0.010376,0.007512,-0.013649,0.021161,-0.040376,-0.039212,-0.001163,0.028169,-0.120062,0.148231
MTE.DE,2012-03-26,downgrade,2,small,single,downgrade,0.034258,-0.011315,0.045573,-0.047308,-0.013649,-0.033659,-0.179445,-0.039212,-0.140233,-0.28385,-0.120062,-0.163788
FFV.DE,2012-03-27,downgrade,2,small,single,downgrade,0.0,-0.017667,0.017667,0.0,-0.030682,0.030682,0.0,-0.03395,0.03395,0.0,-0.121291,0.121291
FFV.DE,2012-03-28,downgrade,2,small,single,downgrade,0.0,0.010426,-0.010426,0.0,-0.014529,0.014529,0.0,-0.023909,0.023909,0.0,-0.066743,0.066743
AMZ.DE,2012-04-01,downgrade,2,small,single,downgrade,0.00534,-0.010539,0.015879,-0.028037,-0.054122,0.026085,0.160214,-0.070172,0.230386,0.208278,-0.0678,0.276078
TII.DE,2012-04-01,downgrade,2,small,single,downgrade,0.0,-0.010539,0.010539,0.0,-0.054122,0.054122,0.006631,-0.070172,0.076803,0.006631,-0.0678,0.074431
4I1.DE,2012-04-02,downgrade,2,small,single,downgrade,0.0,-0.028389,0.028389,0.0,-0.034235,0.034235,0.0,-0.059121,0.059121,0.016118,-0.059791,0.075909
CCC3.DE,2012-04-02,downgrade,2,small,single,downgrade,0.005248,-0.028389,0.033637,-0.011079,-0.034235,0.023156,0.073469,-0.059121,0.13259,0.153353,-0.059791,0.213144
TII.DE,2012-04-02,downgrade,2,small,single,downgrade,0.0,-0.028389,0.028389,0.0,-0.034235,0.034235,0.006631,-0.059121,0.065752,0.006631,-0.059791,0.066423
NMM.DE,2012-04-02,downgrade,2,small,single,downgrade,-0.035913,-0.028389,-0.007524,-0.048501,-0.034235,-0.014265,-0.092188,-0.059121,-0.033067,0.050722,-0.059791,0.110513
UOF.DE,2012-04-02,upgrade,2,small,single,upgrade_single,0.0,-0.028389,0.028389,0.0,-0.034235,0.034235,0.0,-0.059121,0.059121,0.0,-0.059791,0.059791
AMZ.DE,2012-04-02,downgrade,2,small,single,downgrade,-0.018592,-0.028389,0.009797,-0.038513,-0.034235,-0.004277,0.142098,-0.059121,0.201219,0.22842,-0.059791,0.288211
4I1.DE,2012-04-03,downgrade,2,small,single,downgrade,0.0,-0.001297,0.001297,0.0,-0.029504,0.029504,0.0,-0.050017,0.050017,0.016118,-0.03663,0.052748
SRB.DE,2012-04-03,upgrade,2,small,single,upgrade_single,0.0,-0.001297,0.001297,0.052343,-0.029504,0.081848,-0.071211,-0.050017,-0.021194,-0.051735,-0.03663,-0.015105
IBM.DE,2012-04-03,downgrade,2,small,single,downgrade,0.002832,-0.001297,0.004129,-0.002946,-0.029504,0.026559,-0.010989,-0.050017,0.039028,0.015747,-0.03663,0.052377
CCC3.DE,2012-04-03,downgrade,2,small,single,downgrade,0.0029,-0.001297,0.004197,-0.006961,-0.029504,0.022544,0.069606,-0.050017,0.119623,0.143852,-0.03663,0.180481
NMM.DE,2012-04-03,downgrade,2,small,single,downgrade,-0.00192,-0.001297,-0.000623,0.025346,-0.029504,0.05485,-0.073349,-0.050017,-0.023331,0.077573,-0.03663,0.114203
UOF.DE,2012-04-03,upgrade,2,small,single,upgrade_single,0.0,-0.001297,0.001297,0.0,-0.029504,0.029504,0.0,-0.050017,0.050017,0.0,-0.03663,0.03663
AK3.DE,2012-04-03,upgrade,2,small,clustered,upgrade_clustered,0.009744,-0.001297,0.011041,None,None,None,-0.130639,-0.050017,-0.080622,-0.073259,-0.03663,-0.036629
SRB.DE,2012-04-04,upgrade,2,small,single,upgrade_single,-0.001826,-0.024919,0.023093,0.034693,-0.02215,0.056842,-0.040779,-0.044271,0.003492,-0.047474,-0.053895,0.00642
IBM.DE,2012-04-04,downgrade,2,small,single,downgrade,-0.005423,-0.024919,0.019496,-0.00418,-0.02215,0.01797,-0.007004,-0.044271,0.037267,0.002937,-0.053895,0.056832
AK3.DE,2012-04-04,upgrade,2,small,clustered,upgrade_clustered,-0.032166,-0.024919,-0.007247,0.002144,-0.02215,0.024294,-0.109721,-0.044271,-0.06545,-0.06862,-0.053895,-0.014726
FFV.DE,2012-04-08,downgrade,2,small,single,downgrade,0.0,0.010338,-0.010338,0.0,0.029452,-0.029452,0.0,-0.013385,0.013385,0.0,-0.033128,0.033128
WDP.DE,2012-04-08,downgrade,2,small,single,downgrade,0.0,0.010338,-0.010338,0.0,0.029452,-0.029452,0.0,-0.013385,0.013385,0.0,-0.033128,0.033128
HAR.DE,2012-04-09,upgrade,2,small,clustered,upgrade_clustered,-0.014749,0.010338,-0.025088,-0.040192,0.029452,-0.069643,0.02913,-0.013385,0.042515,-0.045354,-0.033128,-0.012226
FFV.DE,2012-04-09,downgrade,2,small,single,downgrade,0.0,0.010338,-0.010338,0.0,0.029452,-0.029452,0.0,-0.013385,0.013385,0.0,-0.033128,0.033128
WDP.DE,2012-04-09,downgrade,2,small,single,downgrade,0.0,0.010338,-0.010338,0.0,0.029452,-0.029452,0.0,-0.013385,0.013385,0.0,-0.033128,0.033128
HAR.DE,2012-04-10,upgrade,2,small,clustered,upgrade_clustered,0.010105,0.010264,-0.000159,0.047156,0.008585,0.038571,0.037799,-0.014203,0.052002,0.071482,-0.035417,0.106899
NTA.DE,2012-04-10,downgrade,2,small,single,downgrade,-0.007927,0.010264,-0.018191,-0.022989,0.008585,-0.031573,-0.124851,-0.014203,-0.110649,-0.250892,-0.035417,-0.215475
NCB.DE,2012-04-10,upgrade,2,small,single,upgrade_single,0.009416,0.010264,-0.000848,0.009416,0.008585,0.000832,-0.101695,-0.014203,-0.087492,-0.073446,-0.035417,-0.038029
NOA3.DE,2012-04-11,downgrade,2,small,single,downgrade,0.019324,-0.02363,0.042953,-0.033816,-0.01068,-0.023136,-0.154589,-0.043194,-0.111395,-0.463768,-0.042916,-0.420853
SOBA.DE,2012-04-11,upgrade,2,small,clustered,upgrade_clustered,-0.024834,-0.02363,-0.001205,0.014901,-0.01068,0.025581,0.099338,-0.043194,0.142532,0.261589,-0.042916,0.304505
NTA.DE,2012-04-11,downgrade,2,small,single,downgrade,-0.013184,-0.02363,0.010445,-0.03316,-0.01068,-0.02248,-0.106672,-0.043194,-0.063478,-0.2501,-0.042916,-0.207184
NCB.DE,2012-04-11,upgrade,2,small,single,upgrade_single,-0.018657,-0.02363,0.004973,0.003731,-0.01068,0.014412,-0.152985,-0.043194,-0.109791,-0.093284,-0.042916,-0.050368
SOBA.DE,2012-04-12,upgrade,2,small,clustered,upgrade_clustered,0.0,0.006271,-0.006271,0.050934,0.025246,0.025687,0.137521,-0.027771,0.165292,0.281834,-0.024993,0.306826
NOA3.DE,2012-04-12,downgrade,2,small,single,downgrade,-0.033175,0.006271,-0.039447,-0.094787,0.025246,-0.120033,-0.203791,-0.027771,-0.176021,-0.450237,-0.024993,-0.425244
CAT1.DE,2012-04-15,upgrade,2,small,single,upgrade_single,0.0,0.026537,-0.026537,0.006323,-0.015424,0.021747,0.006323,-0.036366,0.042688,-0.100143,-0.010277,-0.089865
HDI.DE,2012-04-15,upgrade,2,small,single,upgrade_single,0.003632,0.026537,-0.022904,0.010171,-0.015424,0.025595,-0.043952,-0.036366,-0.007586,0.073738,-0.010277,0.084015
FPMB.DE,2012-04-15,upgrade,2,small,single,upgrade_single,-0.015343,0.026537,-0.04188,-0.036552,-0.015424,-0.021128,-0.034296,-0.036366,0.00207,-0.064982,-0.010277,-0.054705
FPMB.DE,2012-04-16,upgrade,2,small,single,upgrade_single,0.0,-0.010141,0.010141,-0.02154,-0.030965,0.009425,-0.019248,-0.072348,0.0531,-0.050412,-0.034595,-0.015818
CAT1.DE,2012-04-16,upgrade,2,small,single,upgrade_single,0.0,-0.010141,0.010141,0.006323,-0.030965,0.037287,0.006323,-0.072348,0.078671,-0.086886,-0.034595,-0.052291
HDI.DE,2012-04-16,upgrade,2,small,single,upgrade_single,0.0,-0.010141,0.010141,-0.014115,-0.030965,0.016849,-0.047412,-0.072348,0.024936,0.077452,-0.034595,0.112047
F3A.DE,2012-04-16,downgrade,2,small,single,downgrade,0.033533,-0.010141,0.043674,-0.15509,-0.030965,-0.124125,-0.287425,-0.072348,-0.215077,-0.281437,-0.034595,-0.246842
NRA.DE,2012-04-16,upgrade,2,small,single,upgrade_single,0.06257,-0.010141,0.072711,0.107263,-0.030965,0.138227,None,None,None,0.321788,-0.034595,0.356383
INN1.DE,2012-04-17,upgrade,2,small,single,upgrade_single,-0.031056,-0.009033,-0.022023,-0.024845,-0.004089,-0.020755,-0.173913,-0.06845,-0.105463,-0.055901,-0.022934,-0.032967
WHR.DE,2012-04-17,downgrade,2,small,single,downgrade,0.0,-0.009033,0.009033,0.0,-0.004089,0.004089,0.008836,-0.06845,0.077286,-0.101833,-0.022934,-0.0789
TRVC.DE,2012-04-17,upgrade,2,small,single,upgrade_single,-0.020233,-0.009033,-0.0112,-0.07132,-0.004089,-0.067231,-0.24431,-0.06845,-0.175859,-0.202327,-0.022934,-0.179393
